Under 30,Senior Citizen,Married,Dependents,Total_Customers,Churned_Customers,Churn_Rate_Percent
No,Yes,No,No,558,273,48.92
No,Yes,No,Yes,11,5,45.45
No,Yes,Yes,No,511,191,37.38
No,No,No,No,2150,684,31.81
Yes,No,No,No,631,193,30.59
No,No,Yes,No,1169,326,27.89
Yes,No,Yes,No,397,96,24.18
No,No,No,Yes,219,38,17.35
No,Yes,Yes,Yes,62,7,11.29
Yes,No,No,Yes,72,7,9.72
No,No,Yes,Yes,962,41,4.26
Yes,No,Yes,Yes,301,8,2.66
