Quarter,Churned_Customers,Lost_Monthly_Revenue_MRR,Lost_Total_Revenue,Avg_Lost_Monthly_Charge,Lost_Annual_Run_Rate_$
Q3,1869,139130.85,3684459.82,74.44,1669570.2
TOTAL YEARLY (Annual Loss),1869,139130.85,3684459.82,74.44,1669570.2
